common_name,exclusion_reason
Alexandrine Parakeet,Accidental rare species
American Wigeon,Accidental rare species
Apus/Tachymarptis sp.,Accidental rare species
Arctic/Kamchatka Leaf Warbler,Accidental rare species
Ardea sp.,Accidental rare species
Ashy Drongo,Accidental rare species
Ashy/Brown-rumped Minivet,Accidental rare species
Asian Desert Warbler,Accidental rare species
Baikal x Green-winged Teal (hybrid),Accidental rare species
Band-bellied Crake,Accidental rare species
Bank Swallow/Pale Martin,Accidental rare species
Bar-tailed Godwit,Accidental rare species
Bar-tailed/Black-tailed Godwit,Accidental rare species
Besra,Accidental rare species
Bianchi's Warbler,Accidental rare species
Black Redstart,Accidental rare species
Black Scoter,Accidental rare species
Black-bellied Plover/golden-plover sp.,Accidental rare species
Black-collared Starling,Accidental rare species
Black-faced Spoonbill,Accidental rare species
Black-headed/Brown-headed Gull,Accidental rare species
Black-headed/Red-headed Bunting,Accidental rare species
Black-tailed Gull,Accidental rare species
Black-throated Tit,Accidental rare species
Black-throated x Naumann's Thrush (hybrid),Accidental rare species
Blue-and-white/Zappey's Flycatcher,Accidental rare species
Blue-fronted Redstart,Accidental rare species
Bonelli's Eagle,Accidental rare species
Booted Warbler,Accidental rare species
Brant,Accidental rare species
Brown Accentor,Accidental rare species
Brown-breasted Flycatcher,Accidental rare species
Brown-headed Gull,Accidental rare species
Budgerigar,Accidental rare species
Canada Goose,Accidental rare species
Chestnut Bulbul,Accidental rare species
Chestnut Thrush,Accidental rare species
Chestnut-crowned Warbler,Accidental rare species
Chinese Blue Flycatcher,Accidental rare species
Chinese/Baikal Bush Warbler,Accidental rare species
Cinnamon/Schrenck's Bittern,Accidental rare species
Cockatiel,Accidental rare species
Common Hill Myna,Accidental rare species
Common Myna,Accidental rare species
Common Pochard x Tufted Duck (hybrid),Accidental rare species
Common Ringed Plover,Accidental rare species
Common x Baer's Pochard (hybrid),Accidental rare species
Common x Hooded Crane (hybrid),Accidental rare species
Common/Spotted Redshank,Accidental rare species
Crested Serpent-Eagle,Accidental rare species
Daurian Partridge,Accidental rare species
Desert Wheatear,Accidental rare species
Eastern Cattle-Egret/Medium Egret,Accidental rare species
Eurasian Oystercatcher,Accidental rare species
Eurasian Sparrowhawk/Eurasian Goshawk,Accidental rare species
Far Eastern Curlew,Accidental rare species
Ficedula sp.,Accidental rare species
Fujian Niltava,Accidental rare species
Glaucous Gull,Accidental rare species
Gray Treepie,Accidental rare species
Gray-backed Shrike,Accidental rare species
Gray-crowned Goldfinch,Accidental rare species
Gray-streaked/Dark-sided Flycatcher,Accidental rare species
Gray-tailed Tattler,Accidental rare species
Gray-winged Blackbird,Accidental rare species
Great Myna,Accidental rare species
Great White Pelican,Accidental rare species
Greater Flamingo,Accidental rare species
Greater/Lesser White-fronted Goose,Accidental rare species
Helopsaltes/Locustella sp.,Accidental rare species
Herring complex/Lesser Black-backed Gull,Accidental rare species
Himalayan/Oriental Cuckoo,Accidental rare species
Isabelline Wheatear,Accidental rare species
Jack Snipe,Accidental rare species
Japanese Pygmy Woodpecker,Accidental rare species
Japanese Robin,Accidental rare species
Java Sparrow,Accidental rare species
Javan Pond-Heron,Accidental rare species
Large-billed Leaf Warbler,Accidental rare species
Lesser Frigatebird,Accidental rare species
Lesser/Eurasian Kestrel,Accidental rare species
Little Gull,Accidental rare species
Little Stint,Accidental rare species
Locustella sp.,Accidental rare species
Long-eared/Short-eared Owl,Accidental rare species
Long-tailed x Silver-throated Tit (hybrid),Accidental rare species
Malayan Night Heron,Accidental rare species
Mallard x Red-crested Pochard (hybrid),Accidental rare species
Muscicapa sp.,Accidental rare species
Narcissus Flycatcher,Accidental rare species
Northern Wheatear,Accidental rare species
Northern/Great Gray Shrike,Accidental rare species
Pale Martin,Accidental rare species
Pallid Harrier,Accidental rare species
Parus sp.,Accidental rare species
Pectoral Sandpiper,Accidental rare species
Pin-tailed/Common Snipe,Accidental rare species
Plain Prinia,Accidental rare species
Pomarine Jaeger,Accidental rare species
Radde's/Dusky Warbler,Accidental rare species
Radde's/Yellow-streaked/Dusky Warbler,Accidental rare species
Red Knot,Accidental rare species
Red Phalarope,Accidental rare species
Red-breasted Goose,Accidental rare species
Red-crowned Crane,Accidental rare species
Red-necked Phalarope,Accidental rare species
Red-whiskered Bulbul,Accidental rare species
Richard's/Blyth's Pipit,Accidental rare species
Rock/Hill Pigeon,Accidental rare species
Rose-ringed Parakeet,Accidental rare species
Rosy-faced Lovebird,Accidental rare species
Rufous-bellied Eagle,Accidental rare species
Rufous-gorgeted Flycatcher,Accidental rare species
Sandhill Crane,Accidental rare species
Saunders's Gull,Accidental rare species
Scaly-breasted Munia,Accidental rare species
Siberian Sand-Plover,Accidental rare species
Siberian/Asian House-Martin,Accidental rare species
Slaty-backed Gull,Accidental rare species
Slaty-blue Flycatcher,Accidental rare species
Slender-billed Gull,Accidental rare species
Snowy-browed Flycatcher,Accidental rare species
Streaked Reed Warbler,Accidental rare species
Streptopelia sp.,Accidental rare species
Swinhoe's Rail,Accidental rare species
Taiga/Red-breasted Flycatcher,Accidental rare species
Tiger Shrike,Accidental rare species
Tree Pipit,Accidental rare species
Tringa sp.,Accidental rare species
Tufted Duck x Greater Scaup (hybrid),Accidental rare species
Varied Tit,Accidental rare species
Vega Gull,Accidental rare species
Water/Brown-cheeked Rail,Accidental rare species
Watercock,Accidental rare species
Western Marsh Harrier,Accidental rare species
White-browed Laughingthrush,Accidental rare species
White-headed Munia,Accidental rare species
White-rumped Munia,Accidental rare species
White-throated Redstart,Accidental rare species
Willow Warbler,Accidental rare species
Yellow-browed/Hume's Warbler,Accidental rare species
Yellow-cheeked Tit,Accidental rare species
Yellow-rumped/Green-backed/Narcissus/Ryukyu Flycatcher,Accidental rare species
Yellowhammer x Pine Bunting (hybrid),Accidental rare species
chickadee sp.,Accidental rare species
corvid sp.,Accidental rare species
curlew sp.,Accidental rare species
drongo sp.,Accidental rare species
eagle sp.,Accidental rare species
grebe sp.,Accidental rare species
gull/tern sp.,Accidental rare species
house-martin sp.,Accidental rare species
large falcon sp.,Accidental rare species
lark sp.,Accidental rare species
lovebird sp.,Accidental rare species
merganser sp.,Accidental rare species
minivet sp.,Accidental rare species
moorhen/coot/gallinule sp.,Accidental rare species
nuthatch sp.,Accidental rare species
peep sp.,Accidental rare species
pheasant sp.,Accidental rare species
plover sp.,Accidental rare species
sand-plover sp.,Accidental rare species
small bittern sp.,Accidental rare species
small plover sp.,Accidental rare species
small swift sp.,Accidental rare species
swift sp.,Accidental rare species
tern sp.,Accidental rare species
waterfowl sp.,Accidental rare species
Asian Tit,Resident species
Azure-winged Magpie,Resident species
Bearded Reedling,Resident species
Beijing Babbler,Resident species
Black Stork,Resident species
Black-crowned Night Heron,Resident species
Carrion Crow,Resident species
Chinese Blackbird,Resident species
Chinese Gray Shrike,Resident species
Common Hoopoe,Resident species
Common Kingfisher,Resident species
Crested Myna,Resident species
Daurian Redstart,Resident species
Eastern Spot-billed Duck,Resident species
Eurasian Collared-Dove,Resident species
Eurasian Coot,Resident species
Eurasian Kestrel,Resident species
Eurasian Moorhen,Resident species
Eurasian Sparrowhawk,Resident species
Eurasian Tree Sparrow,Resident species
Gadwall,Resident species
Godlewski's Bunting,Resident species
Gray Heron,Resident species
Gray Wagtail,Resident species
Gray-capped Pygmy Woodpecker,Resident species
Gray-headed Woodpecker,Resident species
Great Cormorant,Resident species
Great Crested Grebe,Resident species
Great Egret,Resident species
Great Spotted Woodpecker,Resident species
Green Sandpiper,Resident species
Green-winged Teal,Resident species
Hill Pigeon,Resident species
Large-billed Crow,Resident species
Light-vented Bulbul,Resident species
Little Egret,Resident species
Little Grebe,Resident species
Long-billed Plover,Resident species
Mallard,Resident species
Mandarin Duck,Resident species
Marsh Tit,Resident species
Meadow Bunting,Resident species
Oriental Greenfinch,Resident species
Oriental Magpie,Resident species
Oriental Turtle-Dove,Resident species
Pallas's Bunting,Resident species
Pere David's Laughingthrush,Resident species
Peregrine Falcon,Resident species
Red-billed Blue-Magpie,Resident species
Red-billed Starling,Resident species
Reed Parrotbill,Resident species
Ring-necked Pheasant,Resident species
Rock Pigeon,Resident species
Ruddy Shelduck,Resident species
Silver-throated Tit,Resident species
Snowy-browed Nuthatch,Resident species
Spotted Dove,Resident species
Vinous-throated Parrotbill,Resident species
White Wagtail,Resident species
White-cheeked Starling,Resident species
Willow Tit,Resident species
Yellow-bellied Tit,Resident species
Yellow-billed Grosbeak,Resident species
Yellow-throated Bunting,Resident species
